Item,Cost
,
New slate,Sep-22
Mum's flight to and fro lagos,115000
flight change,12000
Wrist watch.,15500
Provision.  (Ebunife and Anu) sept,16300
Provisions to keep,31000
Provision for Anu via favour,11600
Tokunbo,10000
Tireni's cake,5000
Cloth Aba trf,22000
Feet fab shoes,40000
Anu's airport runs(from schl & ph),7900
,
# December ,
,
Provisions Jan 2023),24000
Airport runs from PH Jan( 2023),9000
Glasses,6000
Toothbrush 2,1100
"Cornflakes, milk, biscuit,coco pop, Nescafé etc",24000
"Jam2 , dried onion2",2400
Tissue,600
Neo_me droll,1700
,
#Feb 2023,
,
,
#Mid term Anu,
,
Logisticsfrom airport,3700
Ebunife from school,13000
,
#March,
,
Drugs for mum tireni,11000
Flight from PH,60000
,
#(+234 806 243 0092past Toyin),
,
,
#April ,
,
Anu from school,12000
Anu back to school,12000
Embassy to and fro,8000
Ebunife NiN,10000
,
#June,
,
To lawyer in Ibadan,10000
Custume for Anu,4500
Airport runs (25/6/2023) Anu,6400
,
#July,
,
Artwork for church,4000
Trip to Ambassador ( balances),15000
Anu back to schl,18000
Ebunife NIN scanning and passport scanning,10000
Tfare to passport office x2/Ebunife,5000
Stamping of passport,2500
Anu's logistic to&fro (Ota) school for post jamb,20000
,
#December ,
,
Ebunife from schl Dec 2023,20000
Ebunife back to schl Jan 2024,15000
Ebunife from school march,22000
Provision for Anu( April 2024),24000
Provisions for Anu June 2024),10300
Transport to AirportAnu) July,5000
Total,676500
